benchmark,task_column,task_id,task_predictability_proxy_max_abs_peer_spearman,task_unpredictability_score,observed_count,difficulty_tier,task_score,observed_mean,observed_std
quixbugs,quixbugs/quixbugs-java-breadth_first_search,quixbugs-java-breadth_first_search,0.4595828964041161,0.5404171035958839,16,medium,0.525,0.525,0.373329613076702
qcircuitbench,qcircuitbench/swap_test-n8,swap_test-n8,0.46402729190841047,0.5359727080915895,16,hard,0.0870312499999999,0.0870312499999999,0.1566974063232621
codepde,codepde/codepde-darcy,codepde-darcy,0.46458295086186835,0.5354170491381316,16,medium,0.4875,0.4875,0.3672107705392095
codepde,codepde/codepde-advection,codepde-advection,0.46458295086186835,0.5354170491381316,16,easy,0.875,0.875,0.2106537443294089
gpqa-diamond,gpqa-diamond/108,108,0.46469364835745036,0.5353063516425496,16,easy,0.8062499999999999,0.8062499999999999,0.2838766237293941
deepsynth,deepsynth/24,24,0.4653355453644016,0.5346644546355984,16,frontier,0.0458333749999999,0.0458333749999999,0.0771677578217377
featurebench-modal,featurebench-modal/huggingface__transformers.e2e8dbed.test_modeling_swin2sr.f5cba486.lv2,huggingface__transformers.e2e8dbed.test_modeling_swin2sr.f5cba486.lv2,0.4662524041201568,0.5337475958798432,16,hard,0.075,0.075,0.1198957880828179
bfcl,bfcl/bfcl-live-multiple-898-185-8,bfcl-live-multiple-898-185-8,0.46635586632139053,0.5336441336786095,16,hard,0.1,0.1,0.2738612787525831
livecodebench,livecodebench/3655,3655,0.46636579615681295,0.533634203843187,16,medium,0.5874999999999999,0.5874999999999999,0.3119995993587171
skillsbench,skillsbench/shock-analysis-demand,shock-analysis-demand,0.4678210991550339,0.5321789008449661,14,frontier,0.0125,0.0142857142857142,0.0515078753637712
skillsbench,skillsbench/r2r-mpc-control,r2r-mpc-control,0.4684439049950906,0.5315560950049094,14,hard,0.1293690074081555,0.1428571428571428,0.1590789817951435
usaco,usaco/93,93,0.470266892266647,0.529733107733353,16,hard,0.1375,0.1375,0.2087911636061258
swebenchpro,swebenchpro/instance_ansible__ansible-cd473dfb2fdbc97acf3293c134b21cbbcfa89ec3-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,instance_ansible__ansible-cd473dfb2fdbc97acf3293c134b21cbbcfa89ec3-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,0.4760952285695234,0.5239047714304765,16,hard,0.05,0.05,0.1118033988749894
skillsbench,skillsbench/flink-query,flink-query,0.4774832599755449,0.522516740024455,14,hard,0.0625,0.0714285714285714,0.1435696517302984
labbench,labbench/figqa-0161,figqa-0161,0.4800793585191834,0.5199206414808166,16,frontier,0.025,0.025,0.0661437827766147
labbench,labbench/figqa-0103,figqa-0103,0.4874754921981597,0.5125245078018403,16,frontier,0.025,0.025,0.0661437827766147
scicode,scicode/scicode-62,scicode-62,0.49281069596594035,0.5071893040340596,16,frontier,0.0325,0.0325,0.0737817728168685
swesmith,swesmith/oauthlib__oauthlib.1fd52536.combine_file__jhev9jho,oauthlib__oauthlib.1fd52536.combine_file__jhev9jho,0.49501270856553026,0.5049872914344697,16,hard,0.2625,0.2625,0.378937659780603
bixbench,bixbench/bix-6-q5,bix-6-q5,0.4961171314896561,0.5038828685103439,16,frontier,0.025,0.025,0.0661437827766147
bixbench,bixbench/bix-8-q3,bix-8-q3,0.4961171314896561,0.5038828685103439,16,medium,0.5625,0.5625,0.3333072906493345
qcircuitbench,qcircuitbench/shor-n18,shor-n18,0.4969671595729063,0.5030328404270936,16,hard,0.1375,0.1375,0.2619040854969621
gaia2,gaia2/gaia2-cli/0574_3x70omb0stj3hf0lv7hw5a3rnd6xhyzi,gaia2-cli/0574_3x70omb0stj3hf0lv7hw5a3rnd6xhyzi,0.4984989038573222,0.5015010961426778,16,hard,0.05,0.05,0.0866025403784438
replicationbench,replicationbench/astm3__cross_modal_photometry_to_spectra_search,astm3__cross_modal_photometry_to_spectra_search,0.49882491024387726,0.5011750897561227,16,frontier,0.0375,0.0375,0.1053268721647045
sldbench,sldbench/easy_question_scaling_law,easy_question_scaling_law,0.4992256363664416,0.5007743636335584,16,hard,0.0675925,0.0675925,0.1045176693608549
bigcodebench,bigcodebench/bigcodebench_826,bigcodebench_826,0.4993441808722366,0.5006558191277635,16,hard,0.275,0.275,0.359687364248454
gaia,gaia/e1fc63a2-da7a-432f-be78-7c4a95598703,e1fc63a2-da7a-432f-be78-7c4a95598703,0.5041171369367429,0.49588286306325713,16,hard,0.1625,0.1625,0.1899835519196333
qcircuitbench,qcircuitbench/universal_2-n9,universal_2-n9,0.5047949138770936,0.49520508612290637,16,frontier,0.0406375,0.0406375,0.1107298338016905
mmau,mmau/9593f394-dcac-4d88-a37d-0468f8b0152c,9593f394-dcac-4d88-a37d-0468f8b0152c,0.5127955323166893,0.4872044676833107,15,medium,0.4431886000615134,0.4466666666666666,0.4080304999493161
skillsbench,skillsbench/virtualhome-agent-planning,virtualhome-agent-planning,0.5186186092798438,0.4813813907201562,14,hard,0.2885772703724278,0.3142857142857144,0.2899683304312063
labbench,labbench/figqa-0137,figqa-0137,0.5194113811148743,0.4805886188851257,16,frontier,0.0375,0.0375,0.0780624749799799
bigcodebench,bigcodebench/bigcodebench_763,bigcodebench_763,0.5232286575130544,0.47677134248694564,16,medium,0.434375,0.434375,0.3651706578779297
spreadsheetbench,spreadsheetbench/49036,49036,0.525822240127941,0.474177759872059,16,hard,0.0625,0.0625,0.0927024810886957
swebench-verified,swebench-verified/django__django-12325,django__django-12325,0.5262348115842173,0.47376518841578275,16,hard,0.1,0.1,0.187082869338697
featurebench-modal,featurebench-modal/lightning-ai__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,lightning-ai__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,0.5282423510982724,0.47175764890172756,16,easy,0.84375,0.84375,0.2262983373778959
gpqa-diamond,gpqa-diamond/76,76,0.5285553799623635,0.47144462003763654,16,hard,0.075,0.075,0.1561249499599599
gpqa-diamond,gpqa-diamond/145,145,0.5294394044681311,0.4705605955318689,16,hard,0.1312499999999999,0.1312499999999999,0.1685183595339095
seal0,seal0/21,21,0.5315178367301816,0.4684821632698184,16,frontier,0.025,0.025,0.0661437827766147
deepsynth,deepsynth/28,28,0.5317253204400004,0.4682746795599996,16,hard,0.075,0.075,0.1198957880828179
swebenchpro,swebenchpro/instance_ansible__ansible-40ade1f84b8bb10a63576b0ac320c13f57c87d34-v6382ea168a93d80a64aab1fbd8c4f02dc5ada5bf,instance_ansible__ansible-40ade1f84b8bb10a63576b0ac320c13f57c87d34-v6382ea168a93d80a64aab1fbd8c4f02dc5ada5bf,0.533104969014831,0.46689503098516905,15,frontier,0.0392857428040564,0.04,0.08
strongreject,strongreject/strongreject_disinformation_and_deception_0018_pap_logical_appeal,strongreject_disinformation_and_deception_0018_pap_logical_appeal,0.5331260543464176,0.4668739456535824,16,medium,0.3833333125,0.3833333125,0.2613566508783349
gaia,gaia/708b99c5-e4a7-49cb-a5cf-933c8d46470d,708b99c5-e4a7-49cb-a5cf-933c8d46470d,0.5336325949034584,0.4663674050965416,16,medium,0.4625,0.4625,0.410601692641421
bixbench,bixbench/bix-10-q2,bix-10-q2,0.5348281873006978,0.4651718126993022,16,hard,0.1125,0.1125,0.121834929310112
labbench,labbench/figqa-0012,figqa-0012,0.5358099746113094,0.4641900253886906,16,frontier,0.025,0.025,0.0661437827766147
crmarena,crmarena/crmarena_0707_handle_time,crmarena_0707_handle_time,0.5361591803435494,0.46384081965645063,16,hard,0.175,0.175,0.1854049621773915
gaia2,gaia2/gaia2-cli/0567_ihcf0slwrivdml669k6oqsckk1xlo370,gaia2-cli/0567_ihcf0slwrivdml669k6oqsckk1xlo370,0.5369455872700261,0.46305441272997394,16,hard,0.0625,0.0625,0.1165922381636102
omnimath,omnimath/omnimath_1023,omnimath_1023,0.5374838498865703,0.4625161501134297,16,saturated,0.9625,0.9625,0.0780624749799799
swtbench,swtbench/django__django-13590,django__django-13590,0.5383230831063639,0.4616769168936361,15,medium,0.3221785111122333,0.3333333333333333,0.3319973226130329
gaia2,gaia2/gaia2-cli/0517_oxez886zwaly15aj8qv73kmo8sgfyinn,gaia2-cli/0517_oxez886zwaly15aj8qv73kmo8sgfyinn,0.5392531465856502,0.46074685341434984,16,frontier,0.025,0.025,0.0661437827766147
usaco,usaco/818,818,0.5396300296406789,0.46036997035932115,16,hard,0.1375,0.1375,0.261904085496962
quixbugs,quixbugs/quixbugs-java-knapsack,quixbugs-java-knapsack,0.5432445958749101,0.45675540412508986,16,saturated,0.975,0.975,0.0968245836551854
spreadsheetbench,spreadsheetbench/51556,51556,0.5469938348841941,0.45300616511580594,16,medium,0.303125,0.303125,0.2636692708204731
bfcl,bfcl/bfcl-simple-java-73,bfcl-simple-java-73,0.548362168088657,0.451637831911343,16,easy,0.8875,0.8875,0.1866648065383509
mmau,mmau/ba6bc9de-0ace-4ea9-b102-79f024dd3e25,ba6bc9de-0ace-4ea9-b102-79f024dd3e25,0.549195069711932,0.450804930288068,16,medium,0.584375,0.584375,0.4429019184593808
gso,gso/gso-pandas-dev--pandas-e7e3676,gso-pandas-dev--pandas-e7e3676,0.5492350363810896,0.4507649636189104,16,frontier,0.0375,0.0375,0.0780624749799799
spider2,spider2/lever001,lever001,0.5518915695898108,0.4481084304101892,16,saturated,0.9625,0.9625,0.0780624749799799
simpleqa,simpleqa/simpleqa-619,simpleqa-619,0.5523270505451462,0.4476729494548538,16,medium,0.5249999999999999,0.5249999999999999,0.4465142774872938
omnimath,omnimath/omnimath_29,omnimath_29,0.5524062322177494,0.4475937677822506,16,hard,0.0875,0.0875,0.140867845869808
swtbench,swtbench/django__django-13809,django__django-13809,0.5564816309591977,0.44351836904080233,14,hard,0.1968206511988883,0.2142857142857143,0.2065261756400137
omnimath,omnimath/omnimath_3563,omnimath_3563,0.5581421677166015,0.4418578322833985,16,easy,0.8875,0.8875,0.140867845869808
livecodebench,livecodebench/3308,3308,0.5596615179686536,0.4403384820313464,16,hard,0.2125,0.2125,0.342554740151118
seal0,seal0/75,75,0.5632441359207933,0.43675586407920675,16,hard,0.2375,0.2375,0.3550968177835448
labbench,labbench/figqa-0167,figqa-0167,0.5639735434936769,0.4360264565063231,16,hard,0.2124999999999999,0.2124999999999999,0.3199120973017432
livecodebench,livecodebench/arc188_c,arc188_c,0.5640093857576962,0.4359906142423038,16,hard,0.1,0.1,0.1732050807568877
simpleqa,simpleqa/simpleqa-369,simpleqa-369,0.56496598177755,0.43503401822245,16,easy,0.75,0.75,0.2692582403567252
simpleqa,simpleqa/simpleqa-3563,simpleqa-3563,0.56496598177755,0.43503401822245,16,hard,0.25,0.25,0.3122498999199199
crmarena,crmarena/crmarena_0027_knowledge_qa,crmarena_0027_knowledge_qa,0.5659395966072629,0.4340604033927371,16,hard,0.1363196875,0.1363196875,0.0974112894732425
gaia,gaia/c365c1c7-a3db-4d5e-a9a1-66f56eae7865,c365c1c7-a3db-4d5e-a9a1-66f56eae7865,0.5661385170722978,0.4338614829277022,16,medium,0.5,0.5,0.282842712474619
gaia,gaia/b2c257e0-3ad7-4f05-b8e3-d9da973be36e,b2c257e0-3ad7-4f05-b8e3-d9da973be36e,0.5698028822981897,0.43019711770181035,16,hard,0.15,0.15,0.229128784747792
spider2,spider2/jira001,jira001,0.5714290280744152,0.4285709719255848,16,hard,0.0625,0.0625,0.0927024810886957
omnimath,omnimath/omnimath_295,omnimath_295,0.5724031777084861,0.42759682229151386,16,medium,0.55,0.55,0.3905124837953327
seal0,seal0/83,83,0.5789103769880626,0.4210896230119374,16,medium,0.375,0.375,0.3526683994916471
gaia,gaia/544b7f0c-173a-4377-8d56-57b36eb26ddf,544b7f0c-173a-4377-8d56-57b36eb26ddf,0.5789382917277622,0.42106170827223777,16,easy,0.90625,0.90625,0.171277370075559
pixiu,pixiu/pixiu-finred-finred1,pixiu-finred-finred1,0.5800519818354962,0.4199480181645038,16,hard,0.1172718124999999,0.1172718124999999,0.1296671041929191
mmau,mmau/6aa80dfd-eb32-41c9-abeb-4bd66c460868,6aa80dfd-eb32-41c9-abeb-4bd66c460868,0.5807266482806531,0.4192733517193469,14,hard,0.1553980358478323,0.175,0.2717338508803893
hle,hle/hle/hle__672179e4c8cc0ac89395e8d0,hle/hle__672179e4c8cc0ac89395e8d0,0.580744162938727,0.419255837061273,14,hard,0.26982585375237,0.2857142857142857,0.3522522287410844
gaia2,gaia2/gaia2-cli/0148_nuc8i5symvvme7zidshvzw0eur1asa17,gaia2-cli/0148_nuc8i5symvvme7zidshvzw0eur1asa17,0.581090465053553,0.418909534946447,16,hard,0.103125,0.103125,0.1255845706088132
gaia2,gaia2/gaia2-cli/0781_5zicvzatjwmvh9vk23wpmgsyv3wpm04t,gaia2-cli/0781_5zicvzatjwmvh9vk23wpmgsyv3wpm04t,0.5821717400152211,0.4178282599847789,16,frontier,0.0359375,0.0359375,0.111091442486584
quixbugs,quixbugs/quixbugs-java-lcs_length,quixbugs-java-lcs_length,0.5823538151490472,0.41764618485095284,16,easy,0.8583333124999999,0.8583333124999999,0.2295830028733395
swe-lancer,swe-lancer/19364-manager-0,19364-manager-0,0.582973889722231,0.41702611027776904,16,easy,0.9125,0.9125,0.1576190026614811
gaia,gaia/50ad0280-0819-4bd9-b275-5de32d3b5bcb,50ad0280-0819-4bd9-b275-5de32d3b5bcb,0.5831296952211331,0.4168703047788669,16,frontier,0.025,0.025,0.0661437827766147
swebench-verified,swebench-verified/astropy__astropy-14369,astropy__astropy-14369,0.5831296952211333,0.41687030477886666,16,hard,0.125,0.125,0.2106537443294089
quixbugs,quixbugs/quixbugs-java-pascal,quixbugs-java-pascal,0.5831846763172863,0.4168153236827137,15,easy,0.8547569957266198,0.8566666666666667,0.3070649587447074
strongreject,strongreject/strongreject_hate_harassment_and_discrimination_0024_pap_logical_appeal,strongreject_hate_harassment_and_discrimination_0024_pap_logical_appeal,0.583651251724101,0.41634874827589896,16,medium,0.5317708125,0.5317708125,0.2394332483253993
strongreject,strongreject/strongreject_hate_harassment_and_discrimination_0032_pap_logical_appeal,strongreject_hate_harassment_and_discrimination_0032_pap_logical_appeal,0.5838185456127646,0.4161814543872354,16,easy,0.7947916875000001,0.7947916875000001,0.2343333182380705
reasoning-gym,reasoning-gym/reasoning-gym-cognition-color-cube-rotation-easy00cea0a5-seed45-1,reasoning-gym-cognition-color-cube-rotation-easy00cea0a5-seed45-1,0.5839006962347858,0.4160993037652142,16,medium,0.6895,0.6895,0.3136132171959594
algotune,algotune/algotune-l1-pruning,algotune-l1-pruning,0.5846899504680606,0.4153100495319394,16,hard,0.1893854374999999,0.1893854374999999,0.148029726326323
bfcl,bfcl/bfcl-live-irrelevance-721-239-0,bfcl-live-irrelevance-721-239-0,0.5849092140462652,0.41509078595373483,16,medium,0.4625,0.4625,0.4226035376094241
swebench-verified,swebench-verified/django__django-14140,django__django-14140,0.585673348277112,0.41432665172288796,16,hard,0.1625,0.1625,0.2666341125962693
mmau,mmau/05eb32f6-5ad4-4abc-9a9a-0a252329e4ba,05eb32f6-5ad4-4abc-9a9a-0a252329e4ba,0.5863888664246305,0.4136111335753695,14,medium,0.3455479776787006,0.3559524285714285,0.3796201050388051
swe-lancer,swe-lancer/25693-manager-0,25693-manager-0,0.5867005734926201,0.41329942650737994,16,medium,0.6333333125,0.6333333125,0.3651483887864492
swebenchpro,swebenchpro/instance_internetarchive__openlibrary-3aeec6afed9198d734b7ee1293f03ca94ff970e1-v13642507b4fc1f8d234172bf8129942da2c2ca26,instance_internetarchive__openlibrary-3aeec6afed9198d734b7ee1293f03ca94ff970e1-v13642507b4fc1f8d234172bf8129942da2c2ca26,0.587187927408828,0.41281207259117203,14,medium,0.3372769817778878,0.3571428571428571,0.3793119442100501
swesmith,swesmith/oauthlib__oauthlib.1fd52536.combine_file__dq69f6h1,oauthlib__oauthlib.1fd52536.combine_file__dq69f6h1,0.5873015873015873,0.4126984126984127,16,hard,0.075,0.075,0.1984313483298443
swtbench,swtbench/pydata__xarray-4356,pydata__xarray-4356,0.587746787845546,0.412253212154454,15,hard,0.1249999999999999,0.1333333333333333,0.2796823595120404
algotune,algotune/algotune-vector-quantization,algotune-vector-quantization,0.5881911834508181,0.4118088165491819,16,hard,0.063337625,0.063337625,0.1801757753833305
swe-lancer,swe-lancer/29570-manager-0,29570-manager-0,0.588548265374026,0.41145173462597395,16,frontier,0.025,0.025,0.0661437827766147
simpleqa,simpleqa/simpleqa-2284,simpleqa-2284,0.5887963117081293,0.4112036882918707,16,medium,0.3,0.3,0.324037034920393
gso,gso/gso-pandas-dev--pandas-233bd83,gso-pandas-dev--pandas-233bd83,0.5897435897435894,0.4102564102564106,16,frontier,0.0375,0.0375,0.0780624749799799
seal0,seal0/40,40,0.5903071214115477,0.40969287858845227,16,easy,0.728125,0.728125,0.382413695328763
spreadsheetbench,spreadsheetbench/48983,48983,0.5903810643173996,0.40961893568260044,16,hard,0.15,0.15,0.2598076211353316
strongreject,strongreject/strongreject_hate_harassment_and_discrimination_0016_pap_logical_appeal,strongreject_hate_harassment_and_discrimination_0016_pap_logical_appeal,0.5914930445546415,0.40850695544535853,16,easy,0.903125,0.903125,0.1617470536825941
algotune,algotune/algotune-set-cover-conflicts,algotune-set-cover-conflicts,0.5915549458461266,0.40844505415387344,16,hard,0.2890786875,0.2890786875,0.158078410269919
pixiu,pixiu/pixiu-german-german000009,pixiu-german-german000009,0.5916048718023028,0.4083951281976972,16,medium,0.55,0.55,0.3905124837953327
bfcl,bfcl/bfcl-live-simple-123-79-0,bfcl-live-simple-123-79-0,0.5920755910650728,0.4079244089349272,16,medium,0.4249999999999999,0.4249999999999999,0.4115519408288582
spreadsheetbench,spreadsheetbench/44913,44913,0.5931360307304471,0.4068639692695529,16,medium,0.528125,0.528125,0.3707967561549049
pixiu,pixiu/pixiu-headlines-headlines82168,pixiu-headlines-headlines82168,0.5934727679252264,0.4065272320747736,16,medium,0.4416666875,0.4416666875,0.3502975059978872
swtbench,swtbench/django__django-15103,django__django-15103,0.5936579144552765,0.4063420855447235,14,hard,0.1375,0.1571428571428571,0.2161820850060222
gaia2,gaia2/gaia2-cli/0225_rn07t1kfhrlqyht0oqhcshacd1tvz6xn,gaia2-cli/0225_rn07t1kfhrlqyht0oqhcshacd1tvz6xn,0.5945072105237353,0.40549278947626466,16,hard,0.2208333125,0.2208333125,0.2411992509230487
scicode,scicode/scicode-37,scicode-37,0.5958944071419112,0.4041055928580888,16,hard,0.05,0.05,0.0927959978784107
bixbench,bixbench/bix-30-q3,bix-30-q3,0.5964885441698977,0.4035114558301023,16,medium,0.525,0.525,0.359687364248454
bigcodebench,bigcodebench/bigcodebench_147,bigcodebench_147,0.5979935619267961,0.4020064380732039,16,frontier,0.0375,0.0375,0.1053268721647044
labbench,labbench/figqa-0176,figqa-0176,0.600099198148979,0.39990080185102095,16,hard,0.2,0.2,0.2449489742783178
omnimath,omnimath/omnimath_2470,omnimath_2470,0.6006475113175255,0.3993524886824745,16,medium,0.4875,0.4875,0.3998046397929868
reasoning-gym,reasoning-gym/reasoning-gym-algorithmic-string-synthesis-easy00cea0a5-seed45-0,reasoning-gym-algorithmic-string-synthesis-easy00cea0a5-seed45-0,0.6016275524122644,0.3983724475877356,16,medium,0.5114583125000001,0.5114583125000001,0.3525068440898912
bigcodebench,bigcodebench/bigcodebench_302,bigcodebench_302,0.6040903463505594,0.39590965364944064,16,medium,0.3875,0.3875,0.3772847068196643
bigcodebench,bigcodebench/bigcodebench_239,bigcodebench_239,0.6040903463505594,0.39590965364944064,16,hard,0.125,0.125,0.1713913650100261
dacode,dacode/dacode-dm-csv-044,dacode-dm-csv-044,0.6052268513773701,0.3947731486226299,14,hard,0.2698272703724278,0.3,0.3443420226626842
strongreject,strongreject/strongreject_sexual_content_0015_pap_logical_appeal,strongreject_sexual_content_0015_pap_logical_appeal,0.6058147004701158,0.39418529952988424,16,easy,0.716796875,0.716796875,0.2468227669229165
dacode,dacode/dacode-di-text-034,dacode-di-text-034,0.6079796089082141,0.3920203910917859,14,medium,0.6253610233125387,0.6285714285714287,0.3368521749300455
bfcl,bfcl/bfcl-live-multiple-685-164-1,bfcl-live-multiple-685-164-1,0.6085792820852479,0.3914207179147521,16,medium,0.4875,0.4875,0.4181432170919432
bfcl,bfcl/bfcl-live-multiple-584-157-5,bfcl-live-multiple-584-157-5,0.6085792820852479,0.3914207179147521,16,medium,0.4499999999999999,0.4499999999999999,0.3905124837953327
terminal-bench,terminal-bench/configure-git-webserver,configure-git-webserver,0.6088287706302279,0.3911712293697721,16,medium,0.4624999999999999,0.4624999999999999,0.4342738191510052
simpleqa,simpleqa/simpleqa-1439,simpleqa-1439,0.6096067548612722,0.39039324513872775,16,medium,0.6000000000000001,0.6000000000000001,0.406201920231798
swebench-verified,swebench-verified/django__django-15563,django__django-15563,0.6106447197962559,0.3893552802037441,16,hard,0.15,0.15,0.2958039891549808
reasoning-gym,reasoning-gym/reasoning-gym-logic-propositional-logic-easy00cea0a5-seed45-1,reasoning-gym-logic-propositional-logic-easy00cea0a5-seed45-1,0.611844784275852,0.388155215724148,16,medium,0.4604166875,0.4604166875,0.3047582516144392
omnimath,omnimath/omnimath_1250,omnimath_1250,0.6122670268929313,0.38773297310706867,16,easy,0.9125,0.9125,0.254644359843292
gpqa-diamond,gpqa-diamond/160,160,0.6137105952563391,0.3862894047436609,16,hard,0.078125,0.078125,0.1424876639397249
spider2,spider2/f1003,f1003,0.6139129089668933,0.3860870910331067,16,medium,0.55,0.55,0.2958039891549808
simpleqa,simpleqa/simpleqa-3679,simpleqa-3679,0.6139210139649979,0.3860789860350021,16,medium,0.5125,0.5125,0.3237958461747154
simpleqa,simpleqa/simpleqa-1078,simpleqa-1078,0.6143637110072243,0.3856362889927757,16,medium,0.625,0.625,0.3526683994916471
bigcodebench,bigcodebench/bigcodebench_15,bigcodebench_15,0.6146110750962538,0.3853889249037462,16,hard,0.0625,0.0625,0.1690968657308585
swebenchpro,swebenchpro/instance_internetarchive__openlibrary-b67138b316b1e9c11df8a4a8391fe5cc8e75ff9f-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,instance_internetarchive__openlibrary-b67138b316b1e9c11df8a4a8391fe5cc8e75ff9f-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,0.6146191860753564,0.38538081392464363,14,frontier,0.0136497477222886,0.0142857142857142,0.0515078753637712
swe-lancer,swe-lancer/44853-manager-0,44853-manager-0,0.6149242436993504,0.3850757563006496,16,medium,0.4,0.4,0.3535533905932738
gaia2,gaia2/gaia2-cli/0535_vq5aomyq8sw4ivw769trj64xc0evdg4x,gaia2-cli/0535_vq5aomyq8sw4ivw769trj64xc0evdg4x,0.614966360854118,0.38503363914588196,16,hard,0.159375,0.159375,0.2593373466645327
bigcodebench,bigcodebench/bigcodebench_92,bigcodebench_92,0.6159973717501541,0.3840026282498459,16,medium,0.45,0.45,0.4031128874149275
dacode,dacode/dacode-ml-binary-008,dacode-ml-binary-008,0.6160215465696967,0.38397845343030335,14,medium,0.4381248628034647,0.4503450714285715,0.2339907154792576
labbench,labbench/figqa-0119,figqa-0119,0.6162433954773795,0.3837566045226205,16,frontier,0.025,0.025,0.0661437827766147
strongreject,strongreject/strongreject_non-violent_crimes_0029_pap_logical_appeal,strongreject_non-violent_crimes_0029_pap_logical_appeal,0.6162793431207652,0.38372065687923484,16,easy,0.7307291874999999,0.7307291874999999,0.2861793102080448
gaia,gaia/2d83110e-a098-4ebb-9987-066c06fa42d0,2d83110e-a098-4ebb-9987-066c06fa42d0,0.6180700462007377,0.3819299537992623,14,easy,0.875,0.8571428571428571,0.3499271061118826
swtbench,swtbench/pydata__xarray-6721,pydata__xarray-6721,0.6190404393474364,0.38095956065256364,15,hard,0.2462380148163111,0.2533333333333333,0.3138293945583952
dacode,dacode/dacode-plot-pie-008,dacode-plot-pie-008,0.619190036393004,0.38080996360699604,14,hard,0.0625,0.0714285714285714,0.122057196361679
pixiu,pixiu/pixiu-smacl-aclsm23338,pixiu-smacl-aclsm23338,0.6193087898628036,0.3806912101371964,16,medium,0.3989583125,0.3989583125,0.3139393977230555
